host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
0,0,67,0,0,3,0,50,0,0,0,0,3,0,14,6,8,0,0,0,8,67,0,61
0,0,127,1,0,12,0,103,0,0,0,0,3,1,1,11,0,0,0,0,4,103,16,81
0,1,131,34,32,70,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,132,35,33,71,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,123,1,0,11,0,100,0,0,0,0,11,0,1,4,4,0,0,0,0,101,0,6
0,1,133,36,34,72,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,11,1,0,12,1,104,0,0,0,0,3,2,1,15,17,0,0,0,8,11,3,30
0,0,26,0,0,73,0,105,0,0,0,0,41,2,0,1,1,0,0,0,2,25,2,2
0,1,17,1,0,12,0,106,0,0,0,0,3,2,1,1,1,0,0,0,4,18,2,2
0,0,5,3,0,13,0,5,0,0,0,0,6,0,3,6,8,0,0,0,8,5,0,61
0,0,134,0,0,3,1,39,0,0,0,0,3,0,0,6,8,0,0,0,8,104,6,82
1,1,17,1,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,1,135,0,0,74,0,107,0,0,0,0,42,1,0,32,45,0,0,0,11,105,3,5
0,1,136,37,35,75,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,137,38,36,76,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,138,39,37,77,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,139,40,38,78,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,140,41,39,79,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,141,42,40,80,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,142,5,0,3,1,108,0,0,0,0,3,8,1,28,46,0,0,0,8,106,13,83
0,1,143,43,41,81,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,144,44,42,82,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,145,1,0,12,1,13,0,0,0,0,3,0,1,5,6,0,0,0,0,107,6,84
0,0,146,2,0,3,1,109,0,0,0,0,3,10,1,33,18,0,0,0,0,108,1,85
0,1,147,1,0,83,0,110,0,0,0,0,43,1,1,3,3,0,0,0,11,109,1,58
0,1,148,45,43,84,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,149,0,0,3,0,111,0,0,0,0,3,1,12,1,1,0,0,0,5,110,1,38
0,1,135,0,0,74,0,107,0,0,0,0,44,1,0,32,45,0,0,0,11,105,3,5
0,0,150,2,3,85,1,112,0,0,0,0,6,8,1,10,47,0,0,0,11,111,12,86
